run_id,run_name,state,created_at,url,config.loss,config.seed,config.target,config.dropout,config.pooling,config.features,config.batch_size,config.events_raw,config.experiment,config.head_depth,config.latent_dim,config.phi_hidden,config.event_split,config.feature_set,config.head_hidden,config.test_policy,config.clusters_raw,config.weight_decay,config.encoder_depth,config.learning_rate,config.checkpoint_mode,config.n_input_features,config.checkpoint_metric,config.gradient_clip_norm,config.held_out_test_used,config.events_after_fiducial,config.clusters_after_fiducial,config.events_removed_fiducial,config.individual_pmain_values_clipped_above_one,config.individual_pmain_values_clipped_below_zero,summary.seed,summary._step,summary.epoch,summary._wandb,summary._runtime,summary.features,summary._timestamp,summary.best_epoch,summary.events_raw,summary.event_split,summary.feature_set,summary.clusters_raw,summary.learning_rate,summary.val_p_main_r2,summary.val_p_main_mae,summary.val_p_main_mse,summary.train_p_main_mse,summary.held_out_test_used,summary.best_val_p_main_mse,summary.events_after_fiducial,summary.clusters_after_fiducial,summary.events_removed_fiducial,summary.held_out_test_evaluated,summary.best_validation_checkpoint,summary.individual_pmain_values_clipped_above_one,summary.individual_pmain_values_clipped_below_zero,primary_best,primary_final,primary_best_history_row,history_points,val_loss_best,val_loss_final,nonfinite_history
wew4yp3f,all_event_relative-seed42,finished,2026-07-17T00:47:54Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-pmain-feature-sweep/runs/wew4yp3f,mse,42,p_main,0.04848861422838413,sum,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""event_log_cluster_count"", ""electron_fraction_of_event_sum"", ""electron_fraction_of_event_max"", ""electron_rank_fraction"", ""drift_time_minus_event_mean"", ""drift_time_rank_fraction"", ""x_minus_event_mean"", ""y_minus_event_mean"", ""distance_from_event_centroid""]",1024,2704607,event_relative_feature_ablation,4,128,256,70% train / 15% validation / 15% held-out test; event-level,all_event_relative,512,not evaluated during feature screening,10259121,1.076825417908119e-05,5,0.0003,min,14,val_p_main_mse,1,False,2044825,6838889,659782,0,0,42,139,139,"""{'runtime': 6928}""",6928,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""event_log_cluster_count"", ""electron_fraction_of_event_sum"", ""electron_fraction_of_event_max"", ""electron_rank_fraction"", ""drift_time_minus_event_mean"", ""drift_time_rank_fraction"", ""x_minus_event_mean"", ""y_minus_event_mean"", ""distance_from_event_centroid""]",1784255815.567489,79,2704607,70% train / 15% validation / 15% held-out test; event-level,all_event_relative,10259121,7.202999999999997e-05,0.7477213144302368,0.11822018027305604,0.06179511919617653,0.05502814122706183,False,0.060734737664461136,2044825,6838889,659782,False,/home/adeeps/projects/xenon_deepset_nn/Models/feature_engineering/feature_sweep_output/all_event_relative/seed_42/best_validation_model.pt,0,0,0.060734737664461136,0.06179511919617653,78,140,,,False
dkn0c7mo,core_event_relative-seed42,finished,2026-07-17T00:47:21Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-pmain-feature-sweep/runs/dkn0c7mo,mse,42,p_main,0.04848861422838413,sum,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""event_log_cluster_count"", ""electron_fraction_of_event_sum"", ""electron_fraction_of_event_max"", ""electron_rank_fraction"", ""drift_time_minus_event_mean"", ""drift_time_rank_fraction""]",1024,2704607,event_relative_feature_ablation,4,128,256,70% train / 15% validation / 15% held-out test; event-level,core_event_relative,512,not evaluated during feature screening,10259121,1.076825417908119e-05,5,0.0003,min,11,val_p_main_mse,1,False,2044825,6838889,659782,0,0,42,136,136,"""{'runtime': 6065}""",6065,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""event_log_cluster_count"", ""electron_fraction_of_event_sum"", ""electron_fraction_of_event_max"", ""electron_rank_fraction"", ""drift_time_minus_event_mean"", ""drift_time_rank_fraction""]",1784254919.2785451,76,2704607,70% train / 15% validation / 15% held-out test; event-level,core_event_relative,10259121,7.202999999999997e-05,0.744723916053772,0.11970072984695436,0.0625293105840683,0.05680766695036482,False,0.061647504568099976,2044825,6838889,659782,False,/home/adeeps/projects/xenon_deepset_nn/Models/feature_engineering/feature_sweep_output/core_event_relative/seed_42/best_validation_model.pt,0,0,0.061647504568099976,0.0625293105840683,75,137,,,False
otvyrs1d,drift_offset-seed42,finished,2026-07-16T18:31:56Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-pmain-feature-sweep/runs/otvyrs1d,mse,42,p_main,0.04848861422838413,sum,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""drift_time_minus_event_mean"", ""drift_time_rank_fraction""]",1024,2704607,event_relative_feature_ablation,4,128,256,70% train / 15% validation / 15% held-out test; event-level,drift_offset,512,not evaluated during feature screening,10259121,1.076825417908119e-05,5,0.0003,min,7,val_p_main_mse,1,False,2044825,6838889,659782,0,0,42,144,144,"""{'runtime': 6435}""",6435,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""drift_time_minus_event_mean"", ""drift_time_rank_fraction""]",1784232765.5178978,84,2704607,70% train / 15% validation / 15% held-out test; event-level,drift_offset,10259121,7.202999999999997e-05,0.7414532899856567,0.12208569794893263,0.06333045661449432,0.057538680806862606,False,0.06255602091550827,2044825,6838889,659782,False,/home/adeeps/projects/xenon_deepset_nn/Models/feature_engineering/feature_sweep_output/drift_offset/seed_42/best_validation_model.pt,0,0,0.06255602091550827,0.06333045661449432,83,145,,,False
7wm220ao,electron_plus_multiplicity-seed42,finished,2026-07-17T00:46:23Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-pmain-feature-sweep/runs/7wm220ao,mse,42,p_main,0.04848861422838413,sum,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""event_log_cluster_count"", ""electron_fraction_of_event_sum"", ""electron_fraction_of_event_max"", ""electron_rank_fraction""]",1024,2704607,event_relative_feature_ablation,4,128,256,70% train / 15% validation / 15% held-out test; event-level,electron_plus_multiplicity,512,not evaluated during feature screening,10259121,1.076825417908119e-05,5,0.0003,min,9,val_p_main_mse,1,False,2044825,6838889,659782,0,0,42,164,164,"""{'runtime': 7396}""",7396,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""event_log_cluster_count"", ""electron_fraction_of_event_sum"", ""electron_fraction_of_event_max"", ""electron_rank_fraction""]",1784256192.745928,104,2704607,70% train / 15% validation / 15% held-out test; event-level,electron_plus_multiplicity,10259121,7.202999999999997e-05,0.732681393623352,0.12433185428380966,0.0654790922999382,0.05876150133570547,False,0.06437376886606216,2044825,6838889,659782,False,/home/adeeps/projects/xenon_deepset_nn/Models/feature_engineering/feature_sweep_output/electron_plus_multiplicity/seed_42/best_validation_model.pt,0,0,0.06437376886606216,0.0654790922999382,103,165,,,False
fyuwl3ed,electron_fraction-seed42,finished,2026-07-16T15:33:29Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-pmain-feature-sweep/runs/fyuwl3ed,mse,42,p_main,0.04848861422838413,sum,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""electron_fraction_of_event_sum"", ""electron_fraction_of_event_max""]",1024,2704607,event_relative_feature_ablation,4,128,256,70% train / 15% validation / 15% held-out test; event-level,electron_fraction,512,not evaluated during feature screening,10259121,1.076825417908119e-05,5,0.0003,min,7,val_p_main_mse,1,False,2044825,6838889,659782,0,0,42,160,160,"""{'runtime': 7300}""",7300,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""electron_fraction_of_event_sum"", ""electron_fraction_of_event_max""]",1784222923.9765143,100,2704607,70% train / 15% validation / 15% held-out test; event-level,electron_fraction,10259121,7.202999999999997e-05,0.7329720258712769,0.12348559498786926,0.06540791690349579,0.05864952624547635,False,0.06454247981309891,2044825,6838889,659782,False,/home/adeeps/projects/xenon_deepset_nn/Models/feature_engineering/feature_sweep_output/electron_fraction/seed_42/best_validation_model.pt,0,0,0.06454247981309891,0.06540791690349579,99,161,,,False
r1dcc719,relative_geometry-seed42,finished,2026-07-16T18:48:34Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-pmain-feature-sweep/runs/r1dcc719,mse,42,p_main,0.04848861422838413,sum,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""x_minus_event_mean"", ""y_minus_event_mean"", ""distance_from_event_centroid""]",1024,2704607,event_relative_feature_ablation,4,128,256,70% train / 15% validation / 15% held-out test; event-level,relative_geometry,512,not evaluated during feature screening,10259121,1.076825417908119e-05,5,0.0003,min,8,val_p_main_mse,1,False,2044825,6838889,659782,0,0,42,209,209,"""{'runtime': 9193}""",9193,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""x_minus_event_mean"", ""y_minus_event_mean"", ""distance_from_event_centroid""]",1784236520.3833678,149,2704607,70% train / 15% validation / 15% held-out test; event-level,relative_geometry,10259121,5.042099999999998e-05,0.7321484684944153,0.1242801398038864,0.0656096413731575,0.0581003955521425,False,0.06467414647340775,2044825,6838889,659782,False,/home/adeeps/projects/xenon_deepset_nn/Models/feature_engineering/feature_sweep_output/relative_geometry/seed_42/best_validation_model.pt,0,0,0.06467414647340775,0.0656096413731575,148,210,,,False
uvgle01t,event_multiplicity-seed42,finished,2026-07-16T15:31:55Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-pmain-feature-sweep/runs/uvgle01t,mse,42,p_main,0.04848861422838413,sum,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""event_log_cluster_count""]",1024,2704607,event_relative_feature_ablation,4,128,256,70% train / 15% validation / 15% held-out test; event-level,event_multiplicity,512,not evaluated during feature screening,10259121,1.076825417908119e-05,5,0.0003,min,6,val_p_main_mse,1,False,2044825,6838889,659782,0,0,42,178,178,"""{'runtime': 8016}""",8016,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""event_log_cluster_count""]",1784223545.5567436,118,2704607,70% train / 15% validation / 15% held-out test; event-level,event_multiplicity,10259121,7.202999999999997e-05,0.7300944328308105,0.12580354511737823,0.06611277908086777,0.059312735062001944,False,0.06505949050188065,2044825,6838889,659782,False,/home/adeeps/projects/xenon_deepset_nn/Models/feature_engineering/feature_sweep_output/event_multiplicity/seed_42/best_validation_model.pt,0,0,0.06505949050188065,0.06611277908086777,117,179,,,False
o2v5hzui,baseline-seed42,finished,2026-07-16T15:30:14Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-pmain-feature-sweep/runs/o2v5hzui,mse,42,p_main,0.04848861422838413,sum,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread""]",1024,2704607,event_relative_feature_ablation,4,128,256,70% train / 15% validation / 15% held-out test; event-level,baseline,512,not evaluated during feature screening,10259121,1.076825417908119e-05,5,0.0003,min,5,val_p_main_mse,1,False,2044825,6838889,659782,0,0,42,162,162,"""{'runtime': 8125}""",8125,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread""]",1784223553.6327324,102,2704607,70% train / 15% validation / 15% held-out test; event-level,baseline,10259121,7.202999999999997e-05,0.7305471897125244,0.1268378496170044,0.06600188463926315,0.06017146322167397,False,0.0652005672454834,2044825,6838889,659782,False,/home/adeeps/projects/xenon_deepset_nn/Models/feature_engineering/feature_sweep_output/baseline/seed_42/best_validation_model.pt,0,0,0.0652005672454834,0.06600188463926315,101,163,,,False
0mt8kfrp,electron_rank-seed42,finished,2026-07-16T18:29:22Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-pmain-feature-sweep/runs/0mt8kfrp,mse,42,p_main,0.04848861422838413,sum,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""electron_rank_fraction""]",1024,2704607,event_relative_feature_ablation,4,128,256,70% train / 15% validation / 15% held-out test; event-level,electron_rank,512,not evaluated during feature screening,10259121,1.076825417908119e-05,5,0.0003,min,6,val_p_main_mse,1,False,2044825,6838889,659782,0,0,42,181,181,"""{'runtime': 8737}""",8737,"[""x"", ""y"", ""n_electrons_interface"", ""drift_time_mean"", ""drift_time_spread"", ""electron_rank_fraction""]",1784234913.473733,121,2704607,70% train / 15% validation / 15% held-out test; event-level,electron_rank,10259121,7.202999999999997e-05,0.72714763879776,0.12821966409683228,0.06683458387851715,0.05934716526616114,False,0.06589087843894958,2044825,6838889,659782,False,/home/adeeps/projects/xenon_deepset_nn/Models/feature_engineering/feature_sweep_output/electron_rank/seed_42/best_validation_model.pt,0,0,0.06589087843894958,0.06683458387851715,120,182,,,False
