loss,epochs,top13_ns,batch_size,latent_dim,model_type,phi_hidden,rho_hidden,learning_rate,_runtime,_wandb,run_name,run_id,state,num_workers,_step,_timestamp,epoch,train_loss,val_loss,val_p_alt_auc,val_p_main_auc,val_every,test_loss,test_p_alt_auc,test_p_main_auc,test_mean_brier,test_mean_mae,test_p_alt_brier,test_p_alt_mae,test_p_main_brier,test_p_main_mae,val_mean_brier,val_mean_mae,val_p_alt_brier,val_p_alt_mae,val_p_main_brier,val_p_main_mae,test_event_main_accuracy,test_mean_auc,test_mse,val_event_main_accuracy,val_mean_auc,val_mse,seed,loss_name,scheduler,max_epochs,pin_memory,weight_decay,cudnn_benchmark,scheduler_t_max,scheduler_factor,scheduler_min_lr,scheduler_patience,early_stopping_metric,early_stopping_patience,best_epoch,best_val_event_main_accuracy
,100.0,,256,128,,32,32,0.003,10518.0,{'runtime': 10518},comfy-sweep-3,bhdjxjap,finished,4.0,100.0,1781139416.8337162,100.0,0.3522635294772013,0.35189224723679907,0.8193399590594244,0.9393082903433144,,0.3527892173281106,0.8195050049143644,0.9384516712282104,0.10959696769714355,0.2209353893995285,0.12238870561122894,0.24453625082969663,0.09680523723363876,0.19733452796936035,0.109267920255661,0.2203996181488037,0.12250208854675292,0.24448668956756592,0.09603375941514967,0.1963125467300415,0.7298320314028247,0.8789783380712874,0.10959696769714355,0.7303145498884991,0.8793241247013694,0.1092679277062416,,,,,,,,,,,,,,,
,100.0,,256,16,,128,128,0.001,10513.0,{'runtime': 10513},fanciful-sweep-4,ngt0tlle,finished,4.0,100.0,1781149933.9222283,100.0,0.33427853781053096,0.3347311516271421,0.8492540392185662,0.9411099891292832,,0.33489502393473575,0.8498995011381199,0.9407458558833548,0.104008249938488,0.2105984687805176,0.1130138710141182,0.2287844717502594,0.09500262886285782,0.19241245090961456,0.1039835512638092,0.2103397846221924,0.11330181360244752,0.22893953323364255,0.0946652814745903,0.191740021109581,0.7277226431580183,0.8953226785107373,0.1040082573890686,0.7281888603435009,0.8951820141739248,0.1039835438132286,,,,,,,,,,,,,,,
,100.0,,256,32,,64,32,0.001,10557.0,{'runtime': 10557},sandy-sweep-5,zyiw1sol,finished,4.0,100.0,1781160498.0649486,100.0,0.3563092369932644,0.3564559815574229,0.8158264149918345,0.9366883184966772,,0.3572384115802536,0.8163625063456585,0.9358142923129004,0.11146659404039384,0.22618359327316284,0.12389964610338212,0.251018762588501,0.09903354197740556,0.2013484239578247,0.11124938726425172,0.22574037313461304,0.12414290755987167,0.25108447670936584,0.09835587441921234,0.20039626955986023,0.7289126380720127,0.8760883993292795,0.11146659404039384,0.7297244428215595,0.8762573667442559,0.11124938726425172,,,,,,,,,,,,,,,
,100.0,,256,64,,32,64,0.003,10515.0,{'runtime': 10515},sandy-sweep-6,da3m294o,finished,4.0,100.0,1781171021.4428537,100.0,0.340036983488498,0.34035568107059344,0.8329387894378788,0.9433271328256602,,0.34082247564154333,0.8334292044953152,0.9428274929567396,0.10547133535146712,0.2164245843887329,0.11781447380781174,0.2441571354866028,0.09312819689512251,0.18869203329086304,0.10533540695905684,0.2160595953464508,0.11804122477769852,0.2442605197429657,0.0926295891404152,0.18785865604877472,0.7300178662250101,0.8881283487260274,0.10547132790088654,0.7302786870280774,0.8881329611317694,0.10533540695905684,,,,,,,,,,,,,,,
,100.0,,256,256,,32,128,0.001,10572.0,{'runtime': 10572},peach-sweep-7,znciyxgl,finished,4.0,100.0,1781181597.6366196,100.0,0.3013420855021571,0.30511833309779274,0.8663369557841184,0.9582905553671008,,0.3058081130567842,0.8667537678119722,0.9576766787550048,0.093042254447937,0.18838638067245483,0.10737518966197968,0.2178572416305542,0.07870932668447495,0.15891551971435547,0.0928661897778511,0.18797753751277924,0.10763002932071686,0.2180349677801132,0.07810235023498535,0.15792010724544525,0.7339856026916707,0.9122152232834884,0.093042254447937,0.7343637928561182,0.9123137555756096,0.0928661897778511,,,,,,,,,,,,,,,
,100.0,,512,16,,32,128,0.0003,9405.0,{'runtime': 9405},azure-sweep-8,9e274lgq,finished,4.0,100.0,1781191007.943814,100.0,0.3577906299750181,0.3576627098023891,0.8351858277198959,0.9258258155735384,,0.35835823679963746,0.8355370476249357,0.9251264700868638,0.11244381964206696,0.22817090153694153,0.11757669597864152,0.23936694860458377,0.1073109358549118,0.2169748693704605,0.1122637689113617,0.22773389518260956,0.11776651442050934,0.23934783041477203,0.10676102340221404,0.21611995995044708,0.7283486130853797,0.8803317588558998,0.11244381964206696,0.7299657020643967,0.8805058216467171,0.1122637689113617,,,,,,,,,,,,,,,
,100.0,,512,256,,64,32,0.001,9471.0,{'runtime': 9471},apricot-sweep-9,sytu25a9,finished,4.0,100.0,1781200492.8346632,100.0,0.34941059131393787,0.3513292640944322,0.8147631797547992,0.9413640780024572,,0.35243703876932464,0.8147309623657714,0.9405119724896108,0.1096697598695755,0.22451956570148468,0.12417539209127426,0.25514429807662964,0.09516413509845734,0.19389483332633972,0.109320729970932,0.22384291887283325,0.1242031678557396,0.2549150884151459,0.09443829208612442,0.19277074933052063,0.7302689062479624,0.8776214674276911,0.1096697524189949,0.7310807109975092,0.8780636288786282,0.1093207225203514,,,,,,,,,,,,,,,
,100.0,,512,16,,64,64,0.0003,9424.0,{'runtime': 9424},proud-sweep-10,isk0f6kt,finished,4.0,100.0,1781209923.5424676,100.0,0.3744398364330907,0.3739110660056273,0.8226327419413844,0.916395577111729,,0.374452756891648,0.8235031373911934,0.9156432986050927,0.11832085996866226,0.23872274160385132,0.12231389433145524,0.24601735174655912,0.1143278256058693,0.2314281165599823,0.11814217269420624,0.2382753789424896,0.122572124004364,0.24606284499168396,0.11371222883462906,0.23048792779445648,0.72773894445821,0.8695732179981431,0.11832085996866226,0.7288669944314758,0.8695141595265568,0.11814218014478683,,,,,,,,,,,,,,,
,100.0,,256,32,,128,32,0.0003,10626.0,{'runtime': 10626},helpful-sweep-11,dy8ej38h,finished,4.0,100.0,1781220563.228312,100.0,0.3608656005776662,0.3605318763437024,0.8194130880762415,0.93179006357057,,0.3608686494717904,0.8203525049376654,0.9311715768019518,0.1132371723651886,0.2319890558719635,0.12334789335727692,0.2532977759838104,0.10312645882368088,0.21068032085895536,0.11310910433530807,0.23156824707984924,0.1236504465341568,0.253431111574173,0.10256776213645936,0.20970536768436432,0.728801789230709,0.8757620408698086,0.1132371723651886,0.7292354038158083,0.8756015758234058,0.11310911178588869,,,,,,,,,,,,,,,
,100.0,,512,64,,128,128,0.001,9369.0,{'runtime': 9369},dry-sweep-12,f2jklmbo,finished,4.0,100.0,1781229939.9158983,100.0,0.3017597984474616,0.30357141012946764,0.8694960934169579,0.9579624176878844,,0.30401831204692525,0.8699422871619631,0.9575301321160472,0.0925511196255684,0.18971045315265656,0.1062110885977745,0.217741459608078,0.07889115065336227,0.1616794466972351,0.09244228899478912,0.1894318163394928,0.10640528053045271,0.21793633699417111,0.07847929745912552,0.16092729568481445,0.7340605886725525,0.9137362096390051,0.092551127076149,0.7341844785540095,0.9137292555524212,0.09244229644536972,,,,,,,,,,,,,,,
