run_id,run_name,state,created_at,url,config.dropout,config.pooling,config.activation,config.batch_size,config.head_depth,config.latent_dim,config.phi_hidden,config.pin_memory,config.wandb_mode,config.head_hidden,config.num_workers,config.trial_number,config.weight_decay,config.encoder_depth,config.learning_rate,config.checkpoint_mode,config.scheduler_factor,config.trial_max_epochs,config.checkpoint_metric,config.p_alt_loss_weight,config.scheduler_patience,config.event_sum_penalty_weight,config.trial_early_stopping_patience,config.combined_score_event_mae_weight,config.combined_score_sum_error_weight,config.combined_score_tie_aware_weight,summary._step,summary.epoch,summary._wandb,summary._runtime,summary.val_loss,summary._timestamp,summary.bad_epochs,summary.best_epoch,summary.train_loss,summary.learning_rate,summary.val_p_main_auc,summary.val_p_main_mae,summary.val_p_main_brier,summary.p_alt_loss_weight,summary.val_event_p_main_kl,summary.val_event_p_main_mae,summary.val_event_p_main_mse,summary.val_checkpoint_metric,summary.val_combined_p_main_score,summary.best_val_checkpoint_metric,summary.val_event_main_accuracy_strict,summary.val_event_p_main_sum_error_mae,summary.val_event_pred_p_main_sum_mean,summary.val_event_true_p_main_sum_mean,summary.val_event_main_accuracy_tie_aware,summary.val_event_main_top2_accuracy_tie_aware,summary.val_event_main_top3_accuracy_tie_aware,primary_best,primary_final,primary_best_history_row,history_points,val_loss_best,val_loss_final,nonfinite_history
lccdvv5n,trial_0007,finished,2026-07-11T16:17:08Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/lccdvv5n,0.2110973578140071,sum_mean,elu,256,3,32,256,False,online,128,0,7,3.0844007727232135e-08,4,0.00014948102613374672,max,0.7,300,combined_p_main_score,0.5,16,0.01,60,0.5,0.25,1,299,300,"""{'runtime': 65700}""",65700.0,0.578687588879225,1783851944.5718043,13,287,0.6331142246755151,8.617283689368489e-06,0.9631361239202496,0.17417581379413605,0.07559185475111008,0.5,0.21907452749932865,0.12520264555237856,0.05316724506792138,0.804754303443749,0.804754303443749,0.8056838606357292,0.7354266376286173,0.2390972066524389,1.5659630301967489,1.5234889760363306,0.927129927883048,0.9666214577274684,0.9825576087948776,0.7356613763513777,0.7354266376286173,211,300,0.5778195173467965,0.578687588879225,False
atsit2qw,trial_0026,finished,2026-07-20T02:12:07Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/atsit2qw,0.08160819777601129,sum_mean,elu,256,5,128,256,False,online,128,0,26,2.300850119556646e-06,5,0.00163490937255909,max,0.7,300,combined_p_main_score,0.5,16,0.1,60,0.5,0.25,1,29,30,"""{'runtime': 6523}""",6523.0,0.6395096066994305,1784519662.847155,12,18,0.6821803397396433,0.00163490937255909,0.955309527738511,0.1725817173719406,0.0820782408118248,0.5,0.23008370992165783,0.123791824325652,0.05871722912661602,0.7971835438533712,0.7971835438533712,0.8024926875593535,0.7354951030894225,0.2591217241935806,1.5773775087785675,1.5234889760363306,0.9238598870645924,0.9653597370926305,0.9816610372843338,0.7354951030894225,0.7354951030894225,29,30,0.623346395697367,0.6395096066994305,False
vhy4qaub,trial_0021,finished,2026-07-19T05:09:05Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/vhy4qaub,0.07518000245583359,sum_mean,silu,256,4,128,128,False,online,128,0,21,7.07482017294641e-05,4,0.0007852471486614529,max,0.7,300,combined_p_main_score,0.1,16,0.01,60,0.5,0.25,1,29,30,"""{'runtime': 6415}""",6415.0,0.5845374496555805,1784443772.4142478,0,30,0.6338065131933819,0.0007852471486614529,0.958539977834984,0.16643860936164856,0.07847509533166885,0.1,0.2166413000886875,0.11866296652536192,0.05523059044342694,0.8040593197139198,0.8040593197139198,0.8040593197139198,0.734993023043518,0.245397417193374,1.5252459934318,1.5234889760363306,0.9247401572749444,0.9663671574444778,0.9821076929095864,0.734993023043518,0.734993023043518,29,30,0.5845374496555805,0.5845374496555805,False
7c64gco5,trial_0010,finished,2026-07-12T22:28:16Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/7c64gco5,0.18848307311430867,sum,relu,512,4,128,128,False,online,512,0,10,0.00014296403194766455,5,0.001087575576885124,max,0.7,300,combined_p_main_score,0.0,16,0.1,60,0.5,0.25,1,154,155,"""{'runtime': 32616}""",32616.0,0.6693027123808861,1783927528.4462948,8,147,0.7050044962307584,0.0002611268960101182,0.9476379151528322,0.19375398755073547,0.09039580076932908,0.0,0.25280199852165613,0.14031407358951842,0.06559894738330367,0.7789587622764168,0.7789587622764168,0.7850215516167652,0.7327010602365644,0.2884391915297483,1.6039774814771872,1.5234889760363306,0.9212255969536132,0.9613300556852414,0.9784725029668366,0.7347028599001056,0.7327010602365644,1,155,0.661557580033938,0.6693027123808861,False
sh24yj12,trial_0003,finished,2026-07-09T05:50:47Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/sh24yj12,0.22848588459861527,sum,leaky_relu,1024,2,128,64,False,online,512,0,3,4.3760446347244e-05,4,3.8784394097527426e-05,max,0.7,300,combined_p_main_score,0.5,12,0.0,60,0.5,0.25,1,299,300,"""{'runtime': 61883}""",61883.0,0.756847721338272,1783637747.087202,14,286,0.7908214076564718,2.7149075868269197e-05,0.9148739875995736,0.24597665667533877,0.11582762002944946,0.5,0.3160385530254453,0.185054185700808,0.08674181577324777,0.7247377651604062,0.7247377651604062,0.7248771656418268,0.7330922914411654,0.3819232103323151,1.6014537930072403,1.5234889760363306,0.912745660593889,0.966810552809692,0.981709941184909,0.7341616567337411,0.7330922914411654,67,300,0.756847721338272,0.756847721338272,False
2qf0y4fc,trial_0009,finished,2026-07-12T12:19:49Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/2qf0y4fc,0.2663112548274899,mean,leaky_relu,512,4,256,512,False,online,128,0,9,3.848886303127133e-08,3,7.400465463376865e-05,max,0.3,300,combined_p_main_score,0.1,12,0.01,60,0.5,0.25,1,174,175,"""{'runtime': 36500}""",36500.0,0.620777091383934,1783894904.764175,6,169,0.6862780046522703,7.400465463376865e-05,0.9561499550790143,0.1805400550365448,0.0814385786652565,0.1,0.2337740041870402,0.12999987846998748,0.057199924009115166,0.7963257936446959,0.7963257936446959,0.7972961762871346,0.7339334385310572,0.2509321201889657,1.569066555053788,1.5234889760363306,0.924058762926931,0.967221345574523,0.9837639050090636,0.7339334385310572,0.7339334385310572,174,175,0.6201519124706586,0.620777091383934,False
iof32u1n,trial_0022,finished,2026-07-19T06:56:07Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/iof32u1n,0.050785478324659225,sum,gelu,1024,5,128,64,False,online,512,0,22,0.0004917376148453893,5,0.0027895639218922714,max,0.7,300,combined_p_main_score,0.0,16,0.1,60,0.5,0.25,1,29,30,"""{'runtime': 6040}""",6040.0,0.8160675070683161,1784449819.8244212,4,26,0.8563832232624676,0.0027895639218922714,0.9110513215701818,0.2539527118206024,0.11828093975782394,0.0,0.31933287134491284,0.1906906220322662,0.08748107325370506,0.7160800075671316,0.7160800075671316,0.7320398872262562,0.7281497372230409,0.385172084126012,1.5577496646593467,1.5234889760363306,0.9077183396147676,0.9656564207561196,0.9829944836400152,0.7337150011084884,0.7281497372230409,20,30,0.7786940193176269,0.8160675070683161,False
o7c04q3m,trial_0024,finished,2026-07-19T22:46:01Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/o7c04q3m,0.04884896508411739,sum_mean,elu,256,3,128,128,False,online,64,0,24,4.9530259575250456e-05,5,0.00037156350726190695,max,0.3,300,combined_p_main_score,1.0,16,0.1,60,0.5,0.25,1,29,30,"""{'runtime': 6386}""",6386.0,0.621373793052772,1784507159.63779,2,28,0.6640459728108796,0.00037156350726190695,0.9572447843271138,0.17342019081115723,0.08049825578927994,1.0,0.22840254980931665,0.12208619020035356,0.05639682602282923,0.7986659565451386,0.7986659565451386,0.8007060900929281,0.7311719982785827,0.2484526915812555,1.580903235559069,1.5234889760363306,0.9218222245406292,0.9634655260103546,0.980562329651413,0.7335715496668014,0.7311719982785827,22,30,0.6191382048227471,0.621373793052772,False
8yyxjoax,trial_0028,finished,2026-07-20T10:50:35Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/8yyxjoax,0.0751592501971037,sum_mean,silu,512,2,128,128,False,online,128,0,28,0.00010585900746288729,4,0.0002534247011229375,max,0.7,300,combined_p_main_score,1.0,12,0.1,60,0.5,0.25,1,29,30,"""{'runtime': 5926}""",5926.0,0.6763498196999232,1784550173.2362475,0,30,0.7143565470909697,0.0002534247011229375,0.9484428617499256,0.18872183561325073,0.08842378109693527,1.0,0.2505462186081805,0.13710596739003947,0.06350098794937829,0.7796539741314704,0.7796539741314704,0.7796539741314704,0.7325021843742257,0.28578877515457096,1.544181433863871,1.5234889760363306,0.9196541516151328,0.9633905400294728,0.980151536886582,0.7333433314641176,0.7325021843742257,23,30,0.6763498196999232,0.6763498196999232,False
k5qebalm,trial_0030,finished,2026-07-20T14:27:06Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/k5qebalm,0.04456248490098438,sum_mean,silu,1024,4,128,256,False,online,64,0,30,2.2451194634430388e-05,5,0.00022607940550571268,max,0.5,300,combined_p_main_score,1.0,16,0.1,60,0.5,0.25,1,29,30,"""{'runtime': 6046}""",6046.0,0.652179228067398,1784563284.168193,0,30,0.6883441122389999,0.00022607940550571268,0.9495829120188012,0.185679093003273,0.08763134479522705,1.0,0.23794891992492487,0.12882414021869312,0.0602796840443041,0.785085223412874,0.785085223412874,0.785085223412874,0.7310448481370874,0.2605572715756235,1.5465201274218028,1.5234889760363306,0.9146366114161264,0.9632470885877856,0.981022026316819,0.733252044183044,0.7310448481370874,1,30,0.652179228067398,0.652179228067398,False
