run_id,run_name,state,created_at,url,config.dropout,config.pooling,config.activation,config.batch_size,config.head_depth,config.latent_dim,config.phi_hidden,config.pin_memory,config.wandb_mode,config.head_hidden,config.num_workers,config.trial_number,config.weight_decay,config.encoder_depth,config.learning_rate,config.checkpoint_mode,config.scheduler_factor,config.trial_max_epochs,config.checkpoint_metric,config.p_alt_loss_weight,config.scheduler_patience,config.event_sum_penalty_weight,config.trial_early_stopping_patience,config.combined_score_event_mae_weight,config.combined_score_sum_error_weight,config.combined_score_tie_aware_weight,summary._step,summary.epoch,summary._wandb,summary._runtime,summary.val_loss,summary._timestamp,summary.bad_epochs,summary.best_epoch,summary.train_loss,summary.learning_rate,summary.val_p_main_auc,summary.val_p_main_mae,summary.val_p_main_brier,summary.p_alt_loss_weight,summary.val_event_p_main_kl,summary.val_event_p_main_mae,summary.val_event_p_main_mse,summary.val_checkpoint_metric,summary.val_combined_p_main_score,summary.best_val_checkpoint_metric,summary.val_event_main_accuracy_strict,summary.val_event_p_main_sum_error_mae,summary.val_event_pred_p_main_sum_mean,summary.val_event_true_p_main_sum_mean,summary.val_event_main_accuracy_tie_aware,summary.val_event_main_top2_accuracy_tie_aware,summary.val_event_main_top3_accuracy_tie_aware,primary_best,primary_final,primary_best_history_row,history_points,val_loss_best,val_loss_final,nonfinite_history
5y0g85cn,trial_0023,finished,2026-07-19T08:36:54Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/5y0g85cn,0.04916795661487633,sum_mean,silu,1024,5,256,256,False,online,256,0,23,3.166882229533655e-06,5,0.0010024149844640624,max,0.7,300,combined_p_main_score,1.0,16,0.0,60,0.5,0.25,1,253,254,"""{'runtime': 50939}""",50939.0,0.49416986336310703,1784500766.3415775,60,194,0.4645976420806372,4.0451060333973856e-05,0.9719134986256748,0.12545745074748993,0.06313656270503998,1.0,0.18248603881547024,0.09011040681865372,0.04422662513634646,0.8429343622497661,0.8429343622497661,0.8437667060741668,0.7417450215829214,0.18229142111840388,1.5529311213224266,1.5234889760363306,0.933562420938694,0.9657248862169246,0.9818566528866344,0.7437500815065009,0.7417450215829214,245,254,0.4897081438700358,0.49416986336310703,False
4a29zofn,trial_0031,crashed,2026-07-20T16:07:59Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/4a29zofn,0.10826177650831252,sum_mean,silu,1024,5,256,256,False,online,256,0,31,2.4258206629402607e-06,5,0.0005704580451446111,max,0.3,300,combined_p_main_score,1.0,16,0.0,60,0.5,0.25,1,201,202,"""{'runtime': 40423}""",40423.462388391,0.4864290616909663,1784603714.4278083,21,181,0.5115329278086729,4.620710165671349e-06,0.9729758925244132,0.13144467771053314,0.062193240970373154,1.0,0.18246558106057684,0.09485161963674028,0.04411606844265527,0.8407875970276383,0.8407875970276383,0.8412549030308548,0.7424427172311263,0.18405642856202897,1.5588928283100114,1.5234889760363306,0.9342275139865156,0.9658357350582284,0.9818077489860592,0.743052385858296,0.7424427172311263,171,202,0.4864290616909663,0.4864290616909663,False
940qrjkd,trial_0017,finished,2026-07-17T07:00:02Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/940qrjkd,0.0028796938816983177,sum_mean,silu,256,4,128,128,False,online,128,0,17,2.9456373746906346e-05,5,0.00045300780985069574,max,0.7,300,combined_p_main_score,1.0,16,0.1,60,0.5,0.25,1,299,300,"""{'runtime': 64211}""",64211.0,0.5073777909225181,1784335426.717815,34,266,0.4892329038553825,1.8280499126645693e-05,0.9725379796543636,0.12485392391681673,0.06229716911911965,1.0,0.1803908051092085,0.08920140907848183,0.043833539890545344,0.8442388845114112,0.8442388845114112,0.8447587812349935,0.7417776241833048,0.17932168187722855,1.524722009130463,1.5234889760363306,0.9336700095199592,0.9666540603278516,0.9824402394334972,0.7426774559538869,0.7417776241833048,195,300,0.5067334840007381,0.5073777909225181,False
zdqz5o4n,trial_0004,finished,2026-07-09T23:02:33Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/zdqz5o4n,0.04848861422838413,sum,gelu,1024,4,128,256,False,online,512,0,4,1.076825417908119e-05,5,0.0016820065354419137,max,0.7,300,combined_p_main_score,0.0,16,0.1,60,0.5,0.25,1,244,245,"""{'runtime': 51816}""",51816.0,0.5119274230798085,1783689586.0344644,60,185,0.47197200871673606,4.7512521491858155e-05,0.971952755781436,0.12342582643032074,0.06296854466199875,0.0,0.1817305061448724,0.0881939131998327,0.04389212289742296,0.8447564001817169,0.8447564001817169,0.8453584751402741,0.7405550266689271,0.1791622826320776,1.5353243401944057,1.5234889760363306,0.9336439274396526,0.9656205578956978,0.9820587890090112,0.742563346852545,0.7405550266689271,178,245,0.5035347340504328,0.5119274230798085,False
nxf5ynrd,trial_0019,finished,2026-07-18T12:41:00Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/nxf5ynrd,0.02089635895736775,sum_mean,silu,1024,5,128,512,False,online,512,0,19,1.2272839055820016e-05,4,0.0011132907190637591,max,0.5,300,combined_p_main_score,0.25,8,0.1,60,0.5,0.25,1,154,155,"""{'runtime': 32014}""",32014.0,0.5306134098768234,1784410086.3813171,60,95,0.4589983777000498,1.0871979678357025e-06,0.9701023628682582,0.12407557666301729,0.06504888832569122,0.25,0.18470216866244055,0.08879044640995064,0.044722892689618494,0.8414171502223841,0.8414171502223841,0.8420643464572264,0.7416211317014645,0.18451879308911737,1.533204254760638,1.5234889760363306,0.9319420716996388,0.9660509122207588,0.9821402955099698,0.7420873488869473,0.7416211317014645,106,155,0.5140997522075971,0.5306134098768234,False
7ojc6q4h,trial_0015,finished,2026-07-15T22:24:54Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/7ojc6q4h,0.017794209388646013,sum_mean,silu,1024,4,128,256,False,online,512,0,15,1.9042862792315167e-05,5,0.001125787608883938,max,0.7,300,combined_p_main_score,1.0,16,0.1,60,0.5,0.25,1,299,300,"""{'runtime': 64739}""",64739.0,0.5222341166933377,1784218647.1076071,49,251,0.46107180203405745,6.489941533481732e-05,0.97115360291606,0.12318603694438934,0.06385760754346848,1.0,0.1833215476656544,0.08810574757258333,0.0441571695911478,0.8437439588638078,0.8437439588638078,0.8452152016263217,0.7403789726268567,0.1814843872958216,1.5334729788969923,1.5234889760363306,0.9331679294740548,0.965747708037193,0.9819348991275544,0.7413896532387423,0.7403789726268567,297,300,0.5085860994458199,0.5222341166933377,False
7k528608,trial_0027,finished,2026-07-20T04:00:58Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/7k528608,0.04241223940461535,sum,gelu,1024,4,128,256,False,online,512,0,27,2.560828669774533e-07,5,0.0004977344629627986,max,0.5,300,combined_p_main_score,0.0,16,0.05,60,0.5,0.25,1,121,122,"""{'runtime': 24569}""",24569.0,0.5559101057052612,1784544239.4237428,60,62,0.4189123219899694,3.1108403935174915e-05,0.9674840489763548,0.12390705198049544,0.0683017447590828,0.0,0.19612563489131396,0.08833343265295694,0.0465782358995794,0.8379221405353592,0.8379221405353592,0.8397829951791124,0.7396551948983451,0.19186209710240756,1.541695798726079,1.5234889760363306,0.9300543811374395,0.9653792986528604,0.9817425437852924,0.7411940376364419,0.7396551948983451,58,122,0.5202640761931737,0.5559101057052612,False
09b5n6ql,trial_0020,finished,2026-07-18T21:34:41Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/09b5n6ql,0.033010891017401636,sum_mean,silu,1024,3,128,256,False,online,512,0,20,1.327766996177354e-07,5,0.0007207363222595893,max,0.7,300,combined_p_main_score,1.0,6,0.1,60,0.5,0.25,1,135,136,"""{'runtime': 27256}""",27256.0,0.5448645714918773,1784437350.2048852,60,76,0.4503565801571367,6.983142902811221e-06,0.9693191399763929,0.12516045570373535,0.06633596867322922,1.0,0.19080312824396548,0.08872632083592617,0.045813210425190286,0.8399447707575711,0.8399447707575711,0.8405190879923075,0.7395965102176549,0.18813701070819935,1.5369902265601447,1.5234889760363306,0.931342183852584,0.9661911034024072,0.9822022404506984,0.7399355772616424,0.7395965102176549,113,136,0.526824937860171,0.5448645714918773,False
dwizy58s,trial_0000,finished,2026-07-07T13:32:07Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/dwizy58s,0.08764339456056544,mean,gelu,256,2,64,512,False,online,512,0,0,1.9069966103000416e-06,5,8.082071885709241e-05,max,0.7,300,combined_p_main_score,0.5,12,0.0,60,0.5,0.25,1,299,300,"""{'runtime': 64354}""",64354.0,0.5276339846267811,1783495099.3011706,1,299,0.53869030311256,6.655933726972643e-06,0.9690448012500972,0.13707612454891205,0.06623988598585129,0.5,0.19645939885978408,0.09537336197988722,0.04667390330894183,0.8357182362393388,0.8357182362393388,0.8360480877574727,0.7392183200532074,0.19560921437860151,1.5345207619907182,1.5234889760363306,0.9323072208239328,0.967729946140504,0.9833987558847692,0.7395280447568499,0.7392183200532074,298,300,0.5275202563546716,0.5276339846267811,False
zf9w6hgd,trial_0018,finished,2026-07-18T00:50:21Z,https://wandb.ai/senadeep5-clemson-university/xenon-graph-pooling-optuna/runs/zf9w6hgd,0.13779433993210333,sum_mean,silu,1024,3,128,256,False,online,512,0,18,2.634178373941043e-05,5,0.0018160868204030655,max,0.5,300,combined_p_main_score,0.1,6,0.05,60,0.5,0.25,1,211,212,"""{'runtime': 42631}""",42631.0,0.5089893835783005,1784378065.2458005,60,152,0.5452072640004246,1e-06,0.971321307679449,0.13698510825634003,0.06411293148994446,0.1,0.18837169330597836,0.09750998054721802,0.045541140546603555,0.8371549030079765,0.8371549030079765,0.8372040685720742,0.738726020787418,0.18957986845631916,1.556917782029705,1.5234889760363306,0.9333048603956652,0.966119377681564,0.9820001043283212,0.739022704450907,0.738726020787418,143,212,0.5089893835783005,0.5089893835783005,False
