group,n_clusters,mse,mae,r2
1,97785,0.011353785172104836,0.019244741648435593,0.016959190368652344
2,142840,0.18536360561847687,0.23072923719882965,0.15255188941955566
3,134832,0.23293253779411316,0.28531116247177124,0.05001324415206909
4,111532,0.24685826897621155,0.29944589734077454,-0.01139676570892334
5,89370,0.25077155232429504,0.3016737997531891,-0.060013532638549805
6-10,252021,0.23470737040042877,0.27808621525764465,-0.09443271160125732
11-20,147452,0.1723831743001938,0.20148888230323792,-0.058196425437927246
21-50,50033,0.10347837209701538,0.12220955640077591,-0.007956147193908691
51+,1365,0.04778642579913139,0.06114053726196289,0.055859148502349854
