group,n_clusters,mse,mae,r2
"zero_[0,0.001]",542739,0.03129805997014046,0.059945885092020035,-2767108352.0
"low_fractional_(0.001,0.25]",14326,0.049020916223526,0.14927175641059875,-11.370478630065918
"mid_fractional_(0.25,0.75]",6281,0.20554770529270172,0.42855530977249146,-9.180407524108887
"high_fractional_(0.75,0.999)",5320,0.4276435673236847,0.5211375951766968,-84.45854949951172
"one_[0.999,1]",458564,0.3870677351951599,0.43509846925735474,-652377728.0
