group,n_clusters,mse,mae,r2
"zero_[0,0.001]",542739,0.06922295689582825,0.06922297179698944,-6120105472.0
"low_fractional_(0.001,0.25]",14326,0.07846590131521225,0.1702760010957718,-18.80095100402832
"mid_fractional_(0.25,0.75]",6281,0.22222495079040527,0.44938185811042786,-10.006401062011719
"high_fractional_(0.75,0.999)",5320,0.4664563536643982,0.5237879157066345,-92.2147445678711
"one_[0.999,1]",458564,0.4207678735256195,0.4207686185836792,-709177152.0
