group,n_clusters,mse,mae,r2
1,97785,0.011688674800097942,0.011790496297180653,-0.012036442756652832
2,142840,0.21386690437793732,0.2170761674642563,0.022240102291107178
3,134832,0.2714533507823944,0.2751443684101105,-0.10708916187286377
4,111532,0.2907143235206604,0.29441338777542114,-0.1910783052444458
5,89370,0.29835978150367737,0.3019033968448639,-0.26116955280303955
6-10,252021,0.2802310883998871,0.28350192308425903,-0.30670833587646484
11-20,147452,0.21018171310424805,0.21293626725673676,-0.29022765159606934
21-50,50033,0.1287163496017456,0.13109564781188965,-0.25379276275634766
51+,1365,0.06141714006662369,0.06333328783512115,-0.21344983577728271
