run_id,run_name,state,created_at,url,config.loss,config.epochs,config.top13_ns,config.batch_size,config.latent_dim,config.model_type,config.phi_hidden,config.rho_hidden,config.learning_rate,summary._runtime,summary._wandb,config.num_workers,summary._step,summary._timestamp,summary.epoch,summary.train_loss,summary.val_loss,summary.val_p_alt_auc,summary.val_p_main_auc,config.val_every,summary.test_loss,summary.test_p_alt_auc,summary.test_p_main_auc,summary.test_mean_brier,summary.test_mean_mae,summary.test_p_alt_brier,summary.test_p_alt_mae,summary.test_p_main_brier,summary.test_p_main_mae,summary.val_mean_brier,summary.val_mean_mae,summary.val_p_alt_brier,summary.val_p_alt_mae,summary.val_p_main_brier,summary.val_p_main_mae,summary.test_event_main_accuracy,summary.test_mean_auc,summary.test_mse,summary.val_event_main_accuracy,summary.val_mean_auc,summary.val_mse,config.seed,config.loss_name,config.scheduler,config.max_epochs,config.pin_memory,config.weight_decay,config.cudnn_benchmark,config.scheduler_t_max,config.scheduler_factor,config.scheduler_min_lr,config.scheduler_patience,config.early_stopping_metric,config.early_stopping_patience,summary.best_epoch,summary.best_val_event_main_accuracy,summary.learning_rate,primary_best,primary_final,primary_best_history_row,history_points,val_loss_best,val_loss_final,nonfinite_history
xso0qr2f,ld256_phi512_rho512_lr0.0003_bs512_seed3,finished,2026-06-15T23:46:44Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/xso0qr2f,,,,512,256,,512,512,0.0003,52748.0,"""{'runtime': 52748}""",4.0,500.0,1781619579.3252215,500.0,0.25345654709421855,0.28444270064433413,0.8913357747237882,0.9643375236277067,,0.28544623499115307,0.891583995839778,0.9637218486060876,0.08535325154662132,0.1646736115217209,0.09857571870088576,0.1895502358675003,0.07213078439235687,0.13979698717594147,0.08525814116001129,0.16438810527324677,0.09885674715042114,0.18979595601558685,0.07165953516960144,0.13898025453090668,0.735319049047352,0.9276529222229328,0.08535326272249222,0.7363199488791226,0.9278366491757476,0.0852581337094307,3.0,masked_bce,cosine,500.0,True,0.0,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,410.0,0.7364992631812314,0.00015050000000000634,0.7364992631812314,0.7363199488791226,410.0,501,0.2827255342900753,0.28444270064433413,False
ar2895bk,ld256_phi512_rho512_lr0.001_bs512_seed2,finished,2026-06-24T06:06:46Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/ar2895bk,,,,512,256,,512,512,0.001,25288.0,"""{'runtime': 25288}""",4.0,236.0,1782306118.5351334,236.0,0.2828804670389374,0.2856402631352345,0.8885493652926096,0.962932410754294,,0.2858535233636697,0.889134275037269,0.9625800593828152,0.08629275858402252,0.17744578421115875,0.09894811362028122,0.20352564752101895,0.07363740354776382,0.15136592090129852,0.08628740906715393,0.1772371158003807,0.0993332490324974,0.20383577048778537,0.07324156910181046,0.15063846111297607,0.7348039279612942,0.925857167210042,0.08629275113344193,0.7348397908217159,0.9257408880234518,0.08628740161657333,2.0,masked_bce,cosine,500.0,True,1e-05,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,135.0,0.736169976917359,0.000975552729889429,0.736169976917359,0.7348397908217159,135.0,237,0.2763853940616051,0.2856402631352345,False
5r9spt1n,ld512_phi512_rho512_lr0.003_bs512_seed3,finished,2026-06-23T15:44:26Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/5r9spt1n,,,,512,512,,512,512,0.003,51736.0,"""{'runtime': 51736}""",4.0,285.0,1782280826.2258182,285.0,0.27677108981621285,0.28100101701915264,0.8931255911519298,0.9639207895081864,,0.2817110327879588,0.893715799015534,0.9633078206595918,0.08491146191954613,0.1736663281917572,0.09715548902750017,0.19868743419647217,0.0726674348115921,0.14864522218704224,0.08477842435240746,0.17335066199302673,0.09744523465633392,0.19898051023483276,0.07211161404848099,0.1477208137512207,0.7349702012232495,0.9285118098375628,0.08491146564483643,0.7348821742022144,0.928523190330058,0.08477842807769775,3.0,masked_bce,cosine,500.0,True,1e-05,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,184.0,0.7358146085731798,0.0001151426409993262,0.7358146085731798,0.7348821742022144,184.0,286,0.2807456006358067,0.28100101701915264,False
znciyxgl,peach-sweep-7,finished,2026-06-11T09:49:55Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/znciyxgl,,100.0,,256,256,,32,128,0.001,10572.0,"""{'runtime': 10572}""",4.0,100.0,1781181597.6366196,100.0,0.3013420855021571,0.30511833309779274,0.8663369557841184,0.9582905553671008,,0.3058081130567842,0.8667537678119722,0.9576766787550048,0.093042254447937,0.18838638067245483,0.10737518966197968,0.2178572416305542,0.07870932668447495,0.15891551971435547,0.0928661897778511,0.18797753751277924,0.10763002932071686,0.2180349677801132,0.07810235023498535,0.15792010724544525,0.7339856026916707,0.9122152232834884,0.093042254447937,0.7343637928561182,0.9123137555756096,0.0928661897778511,,,,,,,,,,,,,,,,,0.7352342822863551,0.7343637928561182,75.0,101,0.30511833309779274,0.30511833309779274,False
4l7qxzm0,ld128_phi512_rho512_lr0.003_bs512_seed1,finished,2026-06-21T15:07:30Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/4l7qxzm0,,,,512,128,,512,512,0.003,20750.0,"""{'runtime': 20750}""",4.0,212.0,1782074825.1873736,212.0,0.2913856505708121,0.29435341144601507,0.8818974156655799,0.9595441849887876,,0.29513843228419623,0.8820028168354624,0.9589995735555022,0.08950325101613998,0.1809895560145378,0.10154479742050172,0.20526348054409027,0.07746170461177826,0.15671563148498535,0.08929339051246643,0.18063928186893463,0.101653054356575,0.20532731711864471,0.07693372666835785,0.15595124661922455,0.7333172493838108,0.9205011951954823,0.08950325101613998,0.734142095173511,0.9207208003271836,0.08929339796304703,1.0,masked_bce,cosine,500.0,True,0.0,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,111.0,0.734715900940259,0.0006191160141874379,0.734715900940259,0.734142095173511,111.0,213,0.2927759618560473,0.29435341144601507,False
y7qef7yw,ld512_phi512_rho128_lr0.003_bs512_seed3,finished,2026-06-16T14:25:58Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/y7qef7yw,,,,512,512,,512,128,0.003,21907.0,"""{'runtime': 21907}""",4.0,202.0,1781641493.1487958,202.0,0.3047154063787924,0.3082574348648389,0.8605067527274697,0.958074212000578,,0.30914907092849414,0.8604145988401892,0.9575205831605448,0.09399910643696784,0.19028282910585403,0.1094350516796112,0.22098638117313385,0.0785631611943245,0.15957927703857422,0.09378216415643692,0.1898064836859703,0.10953735560178755,0.22085776925086975,0.07802697271108627,0.15875519812107086,0.7341453554335494,0.908967591000367,0.09399911016225816,0.7342138208943545,0.9092904823640238,0.09378217905759811,3.0,masked_bce,cosine,500.0,True,0.0,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,101.0,0.7345659289784954,1.946133327759108e-05,0.7345659289784954,0.7342138208943545,101.0,203,0.3082574348648389,0.3082574348648389,False
f2jklmbo,dry-sweep-12,finished,2026-06-11T23:35:40Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/f2jklmbo,,100.0,,512,64,,128,128,0.001,9369.0,"""{'runtime': 9369}""",4.0,100.0,1781229939.9158983,100.0,0.3017597984474616,0.30357141012946764,0.8694960934169579,0.9579624176878844,,0.30401831204692525,0.8699422871619631,0.9575301321160472,0.0925511196255684,0.18971045315265656,0.1062110885977745,0.217741459608078,0.07889115065336227,0.1616794466972351,0.09244228899478912,0.1894318163394928,0.10640528053045271,0.21793633699417111,0.07847929745912552,0.16092729568481445,0.7340605886725525,0.9137362096390051,0.092551127076149,0.7341844785540095,0.9137292555524212,0.09244229644536972,,,,,,,,,,,,,,,,,0.7344322583169234,0.7341844785540095,53.0,101,0.30357141012946764,0.30357141012946764,False
j6i1mwqf,ld256_phi512_rho512_lr0.0001_bs512_seed3,finished,2026-06-17T04:01:24Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/j6i1mwqf,,,,512,256,,512,512,0.0001,25889.0,"""{'runtime': 25889}""",4.0,249.0,1781694400.7244008,249.0,0.2960219589383135,0.30471786444385845,0.874722219252641,0.9554368349172606,,0.30470009714365004,0.8755608587627709,0.955189844991608,0.09312650561332704,0.19004956632852552,0.10459686815738678,0.21386612951755524,0.08165614306926727,0.16623300313949585,0.0931856818497181,0.1897995248436928,0.104953370988369,0.2140212804079056,0.0814179927110672,0.16557776927947998,0.7322250622709667,0.9153753518771894,0.09312649816274644,0.7333791943245394,0.9150795270849508,0.0931856855750084,3.0,masked_bce,cosine,500.0,True,0.0,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,148.0,0.7342236016744695,8.81400952972015e-05,0.7342236016744695,0.7333791943245394,148.0,250,0.3027591980993748,0.30471786444385845,False
isk0f6kt,proud-sweep-10,finished,2026-06-11T18:01:08Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/isk0f6kt,,100.0,,512,16,,64,64,0.0003,9424.0,"""{'runtime': 9424}""",4.0,100.0,1781209923.5424676,100.0,0.3744398364330907,0.3739110660056273,0.8226327419413844,0.916395577111729,,0.374452756891648,0.8235031373911934,0.9156432986050927,0.11832085996866226,0.23872274160385132,0.12231389433145524,0.24601735174655912,0.1143278256058693,0.2314281165599823,0.11814217269420624,0.2382753789424896,0.122572124004364,0.24606284499168396,0.11371222883462906,0.23048792779445648,0.72773894445821,0.8695732179981431,0.11832085996866226,0.7288669944314758,0.8695141595265568,0.11814218014478683,,,,,,,,,,,,,,,,,0.7337182613685268,0.7288669944314758,10.0,101,0.3739110660056273,0.3739110660056273,False
zj5u5i43,peach-plasma-13,finished,2026-06-09T19:00:01Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/zj5u5i43,BCEWithLogitsLoss,100.0,192600.0,512,64,deepset,64,64,0.001,9416.0,"""{'runtime': 9416}""",4.0,100.0,1781040588.5136635,100.0,0.32878660893491407,0.32968244050939877,0.8403242482615567,0.9487830233940284,,0.33047795365254085,0.8408771103288751,0.9481284026206755,0.10186217725276948,0.20539414882659912,0.1149345487356186,0.23333105444908145,0.08878980576992035,0.17745724320411682,0.10165707767009736,0.20491686463356015,0.1151856780052185,0.23337571322917935,0.0881284847855568,0.17645801603794098,0.7312306829592728,0.8945027564747754,0.10186218470335008,0.7322870072116952,0.8945536358277926,0.10165707767009736,,,,,,,,,,,,,,,,,0.7337084805884118,0.7322870072116952,1.0,101,0.3287298348049323,0.32968244050939877,False
