group,n_clusters,mse,mae,r2
1,97785,0.011320983059704304,0.020314883440732956,0.01979929208755493
2,142840,0.04096853733062744,0.08775047957897186,0.8126994371414185
3,134832,0.05848487466573715,0.12278296053409576,0.7614766359329224
4,111532,0.07130225747823715,0.14696457982063293,0.707869291305542
5,89370,0.07860909402370453,0.15939408540725708,0.6677186489105225
6-10,252021,0.08676476031541824,0.16996507346630096,0.5954188108444214
11-20,147452,0.08555606752634048,0.15135891735553741,0.47480303049087524
21-50,50033,0.06869430840015411,0.10755904763936996,0.33086639642715454
51+,1365,0.049806028604507446,0.06863216310739517,0.015956759452819824
