group,n_clusters,mse,mae,r2
"zero_[0,0.001]",542739,0.058691997081041336,0.11184126883745193,
"low_fractional_(0.001,0.25]",14326,0.16421085596084595,0.31564342975616455,-40.438777923583984
"mid_fractional_(0.25,0.75]",6281,0.0952640026807785,0.25799280405044556,-3.718254566192627
"high_fractional_(0.75,0.999)",5320,0.10957953333854675,0.20934557914733887,-20.897930145263672
"one_[0.999,1]",458564,0.07070127129554749,0.14040258526802063,
