feature_set,target_regime,n_clusters,mse,mae,r2
baseline,all,150000,0.1877058812942715,0.3782382493421904,0.23351663966871128
baseline,zero,79202,0.1642500615830202,0.3478765054270501,
baseline,fractional,3917,0.15639736534894078,0.34610909126711603,-0.4053022556464816
baseline,one,66881,0.217316432717372,0.4160750154453738,-354411254.8149118
all_event_relative,all,150000,0.12172952033777897,0.255767076874003,0.5029263273123437
all_event_relative,zero,79202,0.08910302368655826,0.2347867043170758,
all_event_relative,fractional,3917,0.1142283108774272,0.27558831759872554,-0.026393907445852793
all_event_relative,one,66881,0.160805880219153,0.27945164599430644,-262250824.84993342
