source_feature,target_regime,repeat,baseline_mse,permuted_mse,mse_increase,baseline_mae,permuted_mae,mae_increase,baseline_r2,permuted_r2,n_clusters
drift_time_mean,one,2,0.06454047560691833,0.3589361608028412,0.29439568519592285,0.1298176497220993,0.41574785113334656,0.28593020141124725,-80621032.0,-448366752.0,11100
drift_time_spread,all,0,0.060109201818704605,0.07343799620866776,0.01332879438996315,0.11981828510761261,0.13555841147899628,0.015740126371383667,0.7544389963150024,0.6999875903129578,25002
drift_time_spread,zero,0,0.0529191717505455,0.06344307214021683,0.010523900389671326,0.10397125780582428,0.11655353009700775,0.012582272291183472,,,13257
drift_time_spread,fractional,0,0.13163012266159058,0.15942299365997314,0.02779287099838257,0.2734478712081909,0.29570168256759644,0.022253811359405518,-0.1983567476272583,-0.45138227939605713,645
drift_time_spread,one,0,0.06454047560691833,0.08037875592708588,0.01583828032016754,0.1298176497220993,0.14895078539848328,0.019133135676383972,-80621032.0,-100405488.0,11100
drift_time_spread,all,1,0.060109201818704605,0.07303760200738907,0.012928400188684464,0.11981828510761261,0.1356671303510666,0.01584884524345398,0.7544389963150024,0.7016233205795288,25002
drift_time_spread,zero,1,0.0529191717505455,0.06217120587825775,0.00925203412771225,0.10397125780582428,0.11541532725095749,0.01144406944513321,,,13257
drift_time_spread,fractional,1,0.13163012266159058,0.16642826795578003,0.03479814529418945,0.2734478712081909,0.30713826417922974,0.03369039297103882,-0.1983567476272583,-0.5151580572128296,645
drift_time_spread,one,1,0.06454047560691833,0.08058885484933853,0.016048379242420197,0.1298176497220993,0.1498904824256897,0.020072832703590393,-80621032.0,-100667936.0,11100
drift_time_spread,all,2,0.060109201818704605,0.07500385493040085,0.014894653111696243,0.11981828510761261,0.13752996921539307,0.017711684107780457,0.7544389963150024,0.6935906410217285,25002
drift_time_spread,zero,2,0.0529191717505455,0.06497600674629211,0.012056834995746613,0.10397125780582428,0.11818721890449524,0.01421596109867096,,,13257
drift_time_spread,fractional,2,0.13163012266159058,0.15996696054935455,0.028336837887763977,0.2734478712081909,0.29837268590927124,0.024924814701080322,-0.1983567476272583,-0.4563344717025757,645
drift_time_spread,one,2,0.06454047560691833,0.08204332739114761,0.01750285178422928,0.1298176497220993,0.15128521621227264,0.02146756649017334,-80621032.0,-102484800.0,11100
